series,field,divider,value,#,confidence,basis
CH32V303,HPRE,4,144,#,reference,evt(device-header)
CH32V303,HPRE,512,240,#,reference,evt(device-header)
CH32V303,HPRE,64,192,#,reference,evt(device-header)
CH32V303,HPRE,8,160,#,reference,evt(device-header)
CH32V303,PPRE1,1,0,#,reference,evt(device-header)
CH32V303,PPRE1,16,1792,#,reference,evt(device-header)
CH32V303,PPRE1,2,1024,#,reference,evt(device-header)
CH32V303,PPRE1,4,1280,#,reference,evt(device-header)
CH32V303,PPRE1,8,1536,#,reference,evt(device-header)
CH32V303,PPRE2,1,0,#,reference,evt(device-header)
CH32V303,PPRE2,16,14336,#,reference,evt(device-header)
CH32V303,PPRE2,2,8192,#,reference,evt(device-header)
CH32V303,PPRE2,4,10240,#,reference,evt(device-header)
CH32V303,PPRE2,8,12288,#,reference,evt(device-header)
CH32V305,ADCPRE,2,0,#,reference,evt(device-header)
CH32V305,ADCPRE,4,16384,#,reference,evt(device-header)
CH32V305,ADCPRE,6,32768,#,reference,evt(device-header)
CH32V305,ADCPRE,8,49152,#,reference,evt(device-header)
CH32V305,HPRE,1,0,#,reference,evt(device-header)
CH32V305,HPRE,128,208,#,reference,evt(device-header)
CH32V305,HPRE,16,176,#,reference,evt(device-header)
CH32V305,HPRE,2,128,#,reference,evt(device-header)
CH32V305,HPRE,256,224,#,reference,evt(device-header)
CH32V305,HPRE,4,144,#,reference,evt(device-header)
CH32V305,HPRE,512,240,#,reference,evt(device-header)
CH32V305,HPRE,64,192,#,reference,evt(device-header)
CH32V305,HPRE,8,160,#,reference,evt(device-header)
CH32V305,PPRE1,1,0,#,reference,evt(device-header)
CH32V305,PPRE1,16,1792,#,reference,evt(device-header)
CH32V305,PPRE1,2,1024,#,reference,evt(device-header)
CH32V305,PPRE1,4,1280,#,reference,evt(device-header)
CH32V305,PPRE1,8,1536,#,reference,evt(device-header)
CH32V305,PPRE2,1,0,#,reference,evt(device-header)
CH32V305,PPRE2,16,14336,#,reference,evt(device-header)
CH32V305,PPRE2,2,8192,#,reference,evt(device-header)
CH32V305,PPRE2,4,10240,#,reference,evt(device-header)
CH32V305,PPRE2,8,12288,#,reference,evt(device-header)
CH32V307,ADCPRE,2,0,#,reference,evt(device-header)
CH32V307,ADCPRE,4,16384,#,reference,evt(device-header)
CH32V307,ADCPRE,6,32768,#,reference,evt(device-header)
CH32V307,ADCPRE,8,49152,#,reference,evt(device-header)
CH32V307,HPRE,1,0,#,reference,evt(device-header)
CH32V307,HPRE,128,208,#,reference,evt(device-header)
CH32V307,HPRE,16,176,#,reference,evt(device-header)
CH32V307,HPRE,2,128,#,reference,evt(device-header)
CH32V307,HPRE,256,224,#,reference,evt(device-header)
CH32V307,HPRE,4,144,#,reference,evt(device-header)
CH32V307,HPRE,512,240,#,reference,evt(device-header)
CH32V307,HPRE,64,192,#,reference,evt(device-header)
CH32V307,HPRE,8,160,#,reference,evt(device-header)
CH32V307,PPRE1,1,0,#,reference,evt(device-header)
CH32V307,PPRE1,16,1792,#,reference,evt(device-header)
CH32V307,PPRE1,2,1024,#,reference,evt(device-header)
CH32V307,PPRE1,4,1280,#,reference,evt(device-header)
CH32V307,PPRE1,8,1536,#,reference,evt(device-header)
CH32V307,PPRE2,1,0,#,reference,evt(device-header)
CH32V307,PPRE2,16,14336,#,reference,evt(device-header)
CH32V307,PPRE2,2,8192,#,reference,evt(device-header)
CH32V307,PPRE2,4,10240,#,reference,evt(device-header)
CH32V307,PPRE2,8,12288,#,reference,evt(device-header)
CH32V317,ADCPRE,2,0,#,reference,evt(device-header)
CH32V317,ADCPRE,4,16384,#,reference,evt(device-header)
CH32V317,ADCPRE,6,32768,#,reference,evt(device-header)
CH32V317,ADCPRE,8,49152,#,reference,evt(device-header)
CH32V317,HPRE,1,0,#,reference,evt(device-header)
CH32V317,HPRE,128,208,#,reference,evt(device-header)
CH32V317,HPRE,16,176,#,reference,evt(device-header)
CH32V317,HPRE,2,128,#,reference,evt(device-header)
CH32V317,HPRE,256,224,#,reference,evt(device-header)
CH32V317,HPRE,4,144,#,reference,evt(device-header)
CH32V317,HPRE,512,240,#,reference,evt(device-header)
CH32V317,HPRE,64,192,#,reference,evt(device-header)
CH32V317,HPRE,8,160,#,reference,evt(device-header)
CH32V317,PPRE1,1,0,#,reference,evt(device-header)
CH32V317,PPRE1,16,1792,#,reference,evt(device-header)
CH32V317,PPRE1,2,1024,#,reference,evt(device-header)
CH32V317,PPRE1,4,1280,#,reference,evt(device-header)
CH32V317,PPRE1,8,1536,#,reference,evt(device-header)
CH32V317,PPRE2,1,0,#,reference,evt(device-header)
CH32V317,PPRE2,16,14336,#,reference,evt(device-header)
CH32V317,PPRE2,2,8192,#,reference,evt(device-header)
CH32V317,PPRE2,4,10240,#,reference,evt(device-header)
CH32V317,PPRE2,8,12288,#,reference,evt(device-header)
CH32V407,ADCPRE,2,0,#,reference,evt(device-header)
CH32V407,ADCPRE,4,16384,#,reference,evt(device-header)
CH32V407,ADCPRE,6,32768,#,reference,evt(device-header)
CH32V407,ADCPRE,8,49152,#,reference,evt(device-header)
CH32V407,HPRE,1,0,#,reference,evt(device-header)
CH32V407,HPRE,128,208,#,reference,evt(device-header)
CH32V407,HPRE,16,176,#,reference,evt(device-header)
CH32V407,HPRE,2,128,#,reference,evt(device-header)
CH32V407,HPRE,256,224,#,reference,evt(device-header)
CH32V407,HPRE,4,144,#,reference,evt(device-header)
CH32V407,HPRE,512,240,#,reference,evt(device-header)
CH32V407,HPRE,64,192,#,reference,evt(device-header)
CH32V407,HPRE,8,160,#,reference,evt(device-header)
CH32V407,PPRE1,1,0,#,reference,evt(device-header)
CH32V407,PPRE1,16,1792,#,reference,evt(device-header)
CH32V407,PPRE1,2,1024,#,reference,evt(device-header)
CH32V407,PPRE1,4,1280,#,reference,evt(device-header)
CH32V407,PPRE1,8,1536,#,reference,evt(device-header)
CH32V407,PPRE2,1,0,#,reference,evt(device-header)
CH32V407,PPRE2,16,14336,#,reference,evt(device-header)
CH32V407,PPRE2,2,8192,#,reference,evt(device-header)
CH32V407,PPRE2,4,10240,#,reference,evt(device-header)
CH32V407,PPRE2,8,12288,#,reference,evt(device-header)
CH32V467,ADCPRE,2,0,#,reference,evt(device-header)
CH32V467,ADCPRE,4,16384,#,reference,evt(device-header)
CH32V467,ADCPRE,6,32768,#,reference,evt(device-header)
CH32V467,ADCPRE,8,49152,#,reference,evt(device-header)
CH32V467,HPRE,1,0,#,reference,evt(device-header)
CH32V467,HPRE,128,208,#,reference,evt(device-header)
CH32V467,HPRE,16,176,#,reference,evt(device-header)
CH32V467,HPRE,2,128,#,reference,evt(device-header)
CH32V467,HPRE,256,224,#,reference,evt(device-header)
CH32V467,HPRE,4,144,#,reference,evt(device-header)
CH32V467,HPRE,512,240,#,reference,evt(device-header)
CH32V467,HPRE,64,192,#,reference,evt(device-header)
CH32V467,HPRE,8,160,#,reference,evt(device-header)
CH32V467,PPRE1,1,0,#,reference,evt(device-header)
CH32V467,PPRE1,16,1792,#,reference,evt(device-header)
CH32V467,PPRE1,2,1024,#,reference,evt(device-header)
CH32V467,PPRE1,4,1280,#,reference,evt(device-header)
CH32V467,PPRE1,8,1536,#,reference,evt(device-header)
CH32V467,PPRE2,1,0,#,reference,evt(device-header)
CH32V467,PPRE2,16,14336,#,reference,evt(device-header)
CH32V467,PPRE2,2,8192,#,reference,evt(device-header)
CH32V467,PPRE2,4,10240,#,reference,evt(device-header)
CH32V467,PPRE2,8,12288,#,reference,evt(device-header)
CH32X033,HPRE,1,0,#,reference,evt(device-header)
CH32X033,HPRE,128,224,#,reference,evt(device-header)
CH32X033,HPRE,16,176,#,reference,evt(device-header)
CH32X033,HPRE,2,16,#,reference,evt(device-header)
CH32X033,HPRE,256,240,#,reference,evt(device-header)
CH32X033,HPRE,3,32,#,reference,evt(device-header)
CH32X033,HPRE,32,192,#,reference,evt(device-header)
CH32X033,HPRE,4,48,#,reference,evt(device-header)
CH32X033,HPRE,5,64,#,reference,evt(device-header)
CH32X033,HPRE,6,80,#,reference,evt(device-header)
CH32X033,HPRE,64,208,#,reference,evt(device-header)
CH32X033,HPRE,7,96,#,reference,evt(device-header)
CH32X033,HPRE,8,112,#,reference,evt(device-header)
CH32X035,HPRE,1,0,#,reference,evt(device-header)
CH32X035,HPRE,128,224,#,reference,evt(device-header)
CH32X035,HPRE,16,176,#,reference,evt(device-header)
CH32X035,HPRE,2,16,#,reference,evt(device-header)
CH32X035,HPRE,256,240,#,reference,evt(device-header)
CH32X035,HPRE,3,32,#,reference,evt(device-header)
CH32X035,HPRE,32,192,#,reference,evt(device-header)
CH32X035,HPRE,4,48,#,reference,evt(device-header)
CH32X035,HPRE,5,64,#,reference,evt(device-header)
CH32X035,HPRE,6,80,#,reference,evt(device-header)
CH32X035,HPRE,64,208,#,reference,evt(device-header)
CH32X035,HPRE,7,96,#,reference,evt(device-header)
CH32X035,HPRE,8,112,#,reference,evt(device-header)
CH32X305,ADCPRE,2,0,#,reference,evt(device-header)
CH32X305,ADCPRE,4,16384,#,reference,evt(device-header)
CH32X305,ADCPRE,6,32768,#,reference,evt(device-header)
CH32X305,ADCPRE,8,49152,#,reference,evt(device-header)
CH32X305,HPRE,1,0,#,reference,evt(device-header)
CH32X305,HPRE,128,208,#,reference,evt(device-header)
CH32X305,HPRE,16,176,#,reference,evt(device-header)
CH32X305,HPRE,2,128,#,reference,evt(device-header)
CH32X305,HPRE,256,224,#,reference,evt(device-header)
CH32X305,HPRE,4,144,#,reference,evt(device-header)
CH32X305,HPRE,512,240,#,reference,evt(device-header)
CH32X305,HPRE,64,192,#,reference,evt(device-header)
CH32X305,HPRE,8,160,#,reference,evt(device-header)
CH32X305,PPRE2,1,0,#,reference,evt(device-header)
CH32X305,PPRE2,16,14336,#,reference,evt(device-header)
CH32X305,PPRE2,2,8192,#,reference,evt(device-header)
CH32X305,PPRE2,4,10240,#,reference,evt(device-header)
CH32X305,PPRE2,8,12288,#,reference,evt(device-header)
CH32X315,ADCPRE,2,0,#,reference,evt(device-header)
CH32X315,ADCPRE,4,16384,#,reference,evt(device-header)
CH32X315,ADCPRE,6,32768,#,reference,evt(device-header)
CH32X315,ADCPRE,8,49152,#,reference,evt(device-header)
CH32X315,HPRE,1,0,#,reference,evt(device-header)
CH32X315,HPRE,128,208,#,reference,evt(device-header)
CH32X315,HPRE,16,176,#,reference,evt(device-header)
CH32X315,HPRE,2,128,#,reference,evt(device-header)
CH32X315,HPRE,256,224,#,reference,evt(device-header)
CH32X315,HPRE,4,144,#,reference,evt(device-header)
CH32X315,HPRE,512,240,#,reference,evt(device-header)
CH32X315,HPRE,64,192,#,reference,evt(device-header)
CH32X315,HPRE,8,160,#,reference,evt(device-header)
CH32X315,PPRE2,1,0,#,reference,evt(device-header)
CH32X315,PPRE2,16,14336,#,reference,evt(device-header)
CH32X315,PPRE2,2,8192,#,reference,evt(device-header)
CH32X315,PPRE2,4,10240,#,reference,evt(device-header)
CH32X315,PPRE2,8,12288,#,reference,evt(device-header)
